アルコール分,日本酒度,エキス分,総酸,アミノ酸度,甘辛度,濃淡度,精米歩合,容器,タイプ
16.145,8.194,3.885,0.842,1.434,0.08,-0.81,70.27,茶色瓶,一般酒
16.376,5.428,4.275,1.884,0.51,-0.094,-0.875,70.72,茶色瓶,一般酒
15.493,6.42,4.582,1.424,1.583,0.292,-0.927,72.09,その他,NA
15.925,6.766,4.511,1.2,0.893,0.193,-1.035,67.56,茶色瓶,NA
15.747,0.761,4.317,1.309,1.6560000000000001,-0.3,-1.065,70.75,茶色瓶,一般酒
15.452,3.7039999999999997,4.679,0.97,1.678,-0.229,-0.993,68.85,茶色瓶,一般酒
15.969,5.173,3.661,1.343,1.698,0.01,-1.02,68.52,茶色瓶,一般酒
14.564,2.299,4.445,1.03,1.2610000000000001,-0.267,-0.894,67.72,茶色瓶,一般酒
15.118,4.252,3.549,1.016,1.062,-0.081,-0.995,70.25,茶色瓶,一般酒
15.124,2.25,4.766,1.315,1.102,-0.062,-1.027,68.41,茶色瓶,一般酒
15.755,6.785,5.233,1.144,1.47,0.016,-1.097,69.91,茶色瓶,一般酒
13.995,4.015,5.074,1.231,1.639,0.205,-1.021,72.84,茶色瓶,一般酒
15.859,3.771,4.494,1.501,0.684,0.014,NA,69.8,茶色瓶,一般酒
16.053,-1.721,4.365,1.362,1.134,0.043,-1.219,67.82,茶色瓶,一般酒
13.431,-0.583,4.546,1.083,1.3940000000000001,-0.007,-1.138,70.57,茶色瓶,一般酒
16.12,7.205,4.28,1.333,1.085,-0.356,-0.986,67.96,緑色瓶,一般酒
16.317,2.018,4.6530000000000005,1.202,0.905,-0.079,-1.148,67.02,茶色瓶,一般酒
15.207,1.744,5.303,0.64,1.288,0.042,-0.97,73.29,茶色瓶,一般酒
15.116,1.076,4.502,0.929,0.97,0.099,-0.958,68.86,茶色瓶,一般酒
14.151,6.5,4.947,1.5390000000000001,0.353,0.013,-0.962,70.84,紙パック,一般酒
14.041,5.259,5.051,0.842,1.179,0.129,-0.994,NA,茶色瓶,一般酒
15.587,NA,NA,1.401,NA,-0.045,-1.011,70.45,紙パック,一般酒
14.83,1.616,4.31,1.583,0.769,0.29,-1.262,73.39,紙パック,一般酒
14.862,3.358,4.303,1.498,1.499,-0.2,-0.951,72.73,茶色瓶,一般酒
15.729,0.813,3.952,1.434,0.609,-0.165,-0.951,68.38,緑色瓶,一般酒
15.252,3.104,4.53,0.949,1.7530000000000001,-0.416,-0.914,68.66,紙パック,一般酒
15.226,0.501,3.386,1.233,1.49,NA,-0.979,72.25,NA,NA
15.337,-0.071,4.317,0.996,0.496,0.042,-0.758,66.01,緑色瓶,一般酒
15.031,10.052,5.86,0.898,1.811,-0.328,-0.876,70.53,紙パック,一般酒
14.925,5.477,5.789,1.272,0.942,0.071,-1.054,72.61,茶色瓶,一般酒
15.298,2.002,4.915,1.071,1.96,-0.177,-1.096,70.04,茶色瓶,一般酒
14.906,7.572,4.6,1.405,1.448,-0.246,-0.95,65.79,茶色瓶,一般酒
16.217,3.85,4.425,1.221,NA,-0.228,-0.983,71.41,茶色瓶,一般酒
14.361,5.93,3.727,1.058,1.007,0.047,-0.964,70.74,茶色瓶,一般酒
14.341,6.68,4.929,1.101,0.745,NA,-1.061,65.68,緑色瓶,一般酒
13.825,6.556,4.618,1.379,1.5590000000000002,0.219,-1.153,67.12,緑色瓶,一般酒
15.878,2.311,2.866,1.3820000000000001,1.545,0.172,-1.046,71.11,その他色瓶,一般酒
15.365,4.5120000000000005,4.806,1.379,1.48,NA,-0.867,73.99,NA,一般酒
15.842,10.072,4.645,1.3519999999999999,1.197,-0.056,-1.125,63.94,茶色瓶,一般酒
15.206,1.431,4.521,0.895,0.996,-0.149,-0.934,67.09,紙パック,一般酒
15.327,9.163,4.57,1.163,0.743,-0.012,-0.843,71.85,茶色瓶,一般酒
15.447,1.963,4.304,0.867,1.18,-0.198,-0.954,69.64,茶色瓶,一般酒
14.996,9.587,4.089,1.266,1.6099999999999999,-0.054,-1.033,71.83,茶色瓶,一般酒
15.017,-1.197,5.097,0.91,0.654,-0.252,NA,72.95,紙パック,一般酒
16.687,-2.222,3.84,0.757,1.005,-0.161,-1.041,74.42,茶色瓶,一般酒
15.111,4.721,4.807,1.1,0.932,-0.006,-0.917,73.83,紙パック,一般酒
15.927,-2.249,5.902,1.2469999999999999,NA,0.074,-1.036,69.5,茶色瓶,一般酒
15.779,2.2720000000000002,4.41,1.212,1.312,-0.19,-1.062,69.64,茶色瓶,一般酒
14.478,6.566,5.534,1.102,1.729,0.158,-0.809,70.51,茶色瓶,一般酒
15.115,6.054,4.474,1.177,0.918,-0.203,-0.95,66.52,紙パック,一般酒
14.973,1.8090000000000002,4.964,1.7269999999999999,1.544,0.12,-1.038,69.17,茶色瓶,一般酒
14.903,2.145,NA,0.315,1.256,-0.217,-1.105,69.38,茶色瓶,一般酒
13.883,-5.728,4.499,0.768,1.215,0.149,-0.98,68.85,茶色瓶,一般酒
15.727,3.891,3.634,1.2389999999999999,1.171,0.029,-1.012,68.38,茶色瓶,一般酒
14.654,2.144,3.049,0.959,1.085,-0.502,-1.043,67.58,茶色瓶,一般酒
15.405,1.6800000000000002,3.079,0.988,1.9809999999999999,-0.36,-1.015,69,紙パック,一般酒
15.061,6.718,NA,1.102,1.109,-0.013,-1.09,67.46,茶色瓶,一般酒
15.263,5.173,5.748,1.207,0.701,0.149,-1.03,75.11,茶色瓶,一般酒
15.508,1.9100000000000001,4.208,1.462,1.014,-0.269,-0.965,73.49,茶色瓶,一般酒
14.844,8.62,4.516,1.426,1.293,-0.007,-1.008,70.71,茶色瓶,一般酒
16.104,1.97,5.075,0.964,1.812,0.264,-0.955,69.7,茶色瓶,一般酒
16.132,2.254,5.339,1.258,0.939,0.028,-1.098,75.94,茶色瓶,一般酒
15.774000000000001,3.17,4.6850000000000005,1.05,1.22,-0.167,-0.955,74.15,茶色瓶,一般酒
15.25,7.891,4.537,0.993,1.244,0.088,-0.978,71.33,茶色瓶,一般酒
16.485,4.342,3.802,1.152,1.534,0.018,-1.019,69.99,リターナブル瓶,一般酒
15.289,2.5460000000000003,3.721,0.958,1.9449999999999998,-0.06,-1.086,71.17,茶色瓶,一般酒
15.364,9.807,4.3,0.92,1.061,0.194,-0.875,68.61,茶色瓶,一般酒
16.321,5.559,3.7119999999999997,NA,1.076,-0.2,-0.912,69.94,茶色瓶,一般酒
14.596,9.611,4.672,0.858,0.987,0.181,-1.011,71.41,茶色瓶,一般酒
15.027,0.161,5.896,1.032,0.983,-0.05,-0.944,69.12,茶色瓶,一般酒
15.482,8.361,4.207,1.15,1.001,-0.283,-1.075,73.43,茶色瓶,一般酒
14.8,NA,4.331,NA,1.401,0.127,-0.851,64.8,紙パック,一般酒
16.053,4.056,4.36,1.278,1.3519999999999999,-0.092,-1.022,68.62,紙パック,一般酒
15.392,7.945,3.803,1.026,1.103,0.2,-1.019,70.88,紙パック,一般酒
15.875,2.233,4.306,1.064,1.975,0.148,-1.183,68.37,茶色瓶,一般酒
16.683,6.51,3.895,1.04,1.3439999999999999,-0.139,-0.829,69.51,茶色瓶,一般酒
16.404,6.798,4.589,1.221,1.2570000000000001,0.001,-0.958,66.12,茶色瓶,一般酒
NA,3.3,3.955,0.933,1.635,-0.035,-0.908,67.28,茶色瓶,一般酒
14.981,5.304,4.645,1.502,NA,0.168,-1.009,66.97,茶色瓶,一般酒
14.331,6.733,5.437,1.33,0.711,-0.018,-0.884,75.07,茶色瓶,一般酒
14.834,1.217,NA,1.185,1.584,0.085,-0.993,70.86,リターナブル瓶,一般酒
15.032,6.825,3.875,1.2570000000000001,1.494,0.191,-1.015,71.11,茶色瓶,一般酒
15.600999999999999,5.495,3.975,0.74,1.174,-0.228,-0.919,72.14,茶色瓶,一般酒
14.613,-0.773,5.235,1.024,1.642,-0.189,-0.993,72.26,茶色瓶,一般酒
NA,2.2640000000000002,4.683,1.2770000000000001,1.369,0.164,-1.017,69.31,茶色瓶,一般酒
15.436,-0.694,4.953,1.4020000000000001,1.849,-0.007,-1.013,70.74,紙パック,一般酒
15.001,4.569,4.388,0.956,1.399,-0.074,-1.023,72.2,その他色瓶,一般酒
14.542,0.947,4.703,1.193,1.432,0.095,-0.928,70.43,茶色瓶,一般酒
14.744,4.205,5.515,1.274,0.762,-0.186,-0.878,71.72,緑色瓶,一般酒
15.002,3.957,5.08,1.008,1.022,-0.151,-1.099,69.47,茶色瓶,一般酒
14.866,3.391,4.31,1.202,1.357,0.053,-0.728,71.54,茶色瓶,一般酒
15.166,11.506,4.702,1.584,0.35,0.153,-1.087,69.76,茶色瓶,一般酒
15.742,8.332,4.422,0.914,1.504,-0.091,-1.045,68.45,緑色瓶,一般酒
15.978,3.308,5.636,1.236,1.817,-0.184,-0.942,69.83,茶色瓶,一般酒
14.748,-2.6109999999999998,4.399,0.78,1.309,-0.109,-0.937,67.5,緑色瓶,一般酒
15.485,6.266,4.366,1.095,0.853,-0.395,-0.825,71.08,茶色瓶,一般酒
15.714,3.71,4.683,0.67,1.145,-0.28,-1.06,75.27,茶色瓶,一般酒
15.671,2.3609999999999998,4.144,1.278,1.2730000000000001,-0.138,-0.98,71.48,紙パック,一般酒
15.228,5.715,3.34,1.163,0.668,0.164,-1.102,68.02,茶色瓶,一般酒
14.657,7.652,4.546,1.179,1.232,-0.159,-1.065,71.9,その他色瓶,一般酒
15.893,5.054,3.953,1.367,1.2349999999999999,-0.155,-0.994,71.71,茶色瓶,一般酒
16.294,6.739,3.9,1.049,1.104,0.409,-0.816,73.87,茶色瓶,一般酒
15.265,1.871,4.203,1.154,NA,-0.177,-0.931,70.2,茶色瓶,一般酒
16.234,0.508,4.348,1.237,1.185,0.01,-0.989,69.64,茶色瓶,一般酒
15.346,6.404,4.142,1.07,2.17,-0.026,-0.925,75.5,その他色瓶,一般酒
14.746,2.789,5.071,1.161,1.693,-0.15,-0.956,72.47,緑色瓶,一般酒
14.705,9.127,6.281,NA,1.351,-0.284,-1.031,73.51,茶色瓶,一般酒
15.541,7.415,4.174,1.455,1.086,-0.265,-1.2,67.87,茶色瓶,一般酒
15.482,0.677,5.401,1.216,0.732,0.163,-1.083,66.47,茶色瓶,一般酒
16.42,-1.5190000000000001,4.01,1.021,1.325,-0.138,-0.882,62.28,茶色瓶,一般酒
16.953,-3.034,4.984,1.397,1.027,0.207,-1.116,69.87,茶色瓶,一般酒
14.662,NA,4.2379999999999995,1.329,1.446,-0.114,-1.001,69.53,茶色瓶,一般酒
15.802,-0.531,5.155,1.05,1.625,0.028,-0.956,66.97,茶色瓶,一般酒
15.749,-2.305,4.626,0.655,1.403,-0.395,-1.168,65.95,茶色瓶,一般酒
14.866,3.957,5.055,0.765,1.08,0.012,-1.07,70.16,茶色瓶,一般酒
15.388,6.186,5.004,1.113,1.083,-0.03,-1.073,68.08,茶色瓶,一般酒
14.294,5.394,4.251,1.34,1.302,-0.1,-0.985,68.38,茶色瓶,一般酒
14.778,1.5899999999999999,3.854,1.514,1.454,0.013,-0.987,68.53,緑色瓶,一般酒
16.445,6.129,4.493,0.85,0.898,-0.062,-1,71.4,茶色瓶,一般酒
15.22,4.9879999999999995,4.346,1.206,1.23,0.147,-0.985,67.62,青色瓶,一般酒
15.39,-1.291,5.217,1.424,0.655,-0.151,-0.901,71.76,紙パック,一般酒
14.96,2.892,5.521,1.095,1.03,-0.118,-1.103,70.29,紙パック,一般酒
15.664,4.202,3.8,1.303,1.145,0.08,-1.009,73.66,茶色瓶,一般酒
15.141,5.135,4.051,1.046,1.335,-0.023,-1.05,70.47,茶色瓶,一般酒
16.442,5.146,3.255,1.166,0.922,0.131,-1.046,69.85,茶色瓶,一般酒
13.116,2.111,4.142,1.283,1.431,-0.281,-0.908,71.66,NA,一般酒
15.696,4.341,4.419,1.337,NA,0.02,-1.051,67.73,茶色瓶,一般酒
14.906,-2.817,4.545,0.978,1.117,-0.21,-1.058,70.87,茶色瓶,一般酒
16.126,2.383,3.902,1.295,0.538,0.029,-0.963,68.68,茶色瓶,一般酒
15.687,6.987,2.338,NA,0.655,0.435,-1.02,69.33,茶色瓶,一般酒
15.112,-1.6139999999999999,4.017,0.981,0.851,-0.251,-0.9,69.84,茶色瓶,一般酒
14.638,7.564,5.84,1.192,0.78,0.233,-0.924,73.26,茶色瓶,一般酒
14.508,5.707,4.445,1,1.177,NA,-0.979,71.57,茶色瓶,一般酒
15.767,9.94,4.592,0.803,1.204,0.176,-1.115,70.7,茶色瓶,一般酒
15.077,4.998,5.712,1.396,NA,-0.397,-0.904,65.47,茶色瓶,一般酒
15.035,2.722,4.029,1.153,1.041,-0.389,-0.851,70.37,緑色瓶,一般酒
15.323,5.134,3.748,1.191,1.134,0.039,-0.91,69.5,茶色瓶,一般酒
14.772,-0.394,4.139,1.427,1.109,-0.064,-1.038,69.65,紙パック,一般酒
15.134,0.807,4.909,1.462,0.835,-0.195,-1.037,68.56,緑色瓶,一般酒
15.507,1.8679999999999999,4.823,1.207,1.461,-0.348,-1.113,64.83,茶色瓶,一般酒
15.418,10.315,4.015,1.2610000000000001,1.704,-0.147,-1.114,70.81,茶色瓶,一般酒
14.56,-0.751,4.388,1.466,1.149,-0.019,-1.203,71.2,茶色瓶,一般酒
16.101,2.29,5.223,1.457,0.699,-0.088,-0.885,68.79,茶色瓶,一般酒
14.143,NA,3.762,1.131,1.45,-0.473,-1.044,66.87,紙パック,一般酒
15.752,4.964,NA,1.314,1.626,-0.068,-0.993,70.8,茶色瓶,一般酒
14.959,4.474,5.517,0.586,0.879,-0.372,-0.953,67.99,茶色瓶,一般酒
14.389,-1.564,4.8100000000000005,1.161,1.115,0.238,-0.962,70.33,紙パック,一般酒
16.11,4.34,4.264,0.93,1.5979999999999999,0.043,-1.088,69.16,茶色瓶,一般酒
15.002,3.865,4.77,0.793,1.645,0.206,-1.017,67.7,紙パック,一般酒
14.066,-2.101,3.871,1.191,1.467,0.133,-1.005,64.24,その他色瓶,NA
15.122,-0.407,4.176,1.179,0.991,-0.163,-0.997,67.67,茶色瓶,一般酒
15.802,5.368,4.447,1.305,1.467,-0.066,-1.112,72.38,茶色瓶,一般酒
15.638,0.801,5.172,1.223,1.609,-0.124,-1.038,69.85,茶色瓶,一般酒
15.267,4.128,3.907,1.233,0.735,-0.108,-1.001,69.51,茶色瓶,一般酒
16.491,2.446,3.372,1.5270000000000001,1.115,-0.16,-1.144,70.98,緑色瓶,一般酒
15.362,2.952,5.58,1.404,1.215,0.133,-0.98,65.01,茶色瓶,一般酒
16.772,6.918,5.342,1.061,1.236,-0.369,-0.915,76.98,NA,一般酒
14.433,4.878,5.29,1.3679999999999999,1.443,-0.049,-1.072,74.05,茶色瓶,一般酒
15.043,6.103,4.928,1.089,0.874,0.074,-1.144,70.94,茶色瓶,一般酒
14.32,3.909,NA,0.881,1.091,0.202,-0.907,71.12,茶色瓶,一般酒
16.548000000000002,0.149,4.52,1.17,1.41,-0.19,-1.158,73.15,紙パック,一般酒
15.737,5.404,4.253,0.747,1.338,-0.302,-0.909,67.34,茶色瓶,一般酒
14.262,3.5869999999999997,3.968,1.258,NA,-0.09,-1.022,68.29,緑色瓶,一般酒
14.153,5.374,4.837,1.021,1.4809999999999999,-0.034,-0.947,68.49,茶色瓶,一般酒
16.246,2.697,4.252,1.097,1.414,-0.148,-1.017,NA,茶色瓶,一般酒
16.238,4.229,6.22,1.211,0.956,-0.306,-1.023,71.47,茶色瓶,一般酒
14.648,3.283,4.596,1.404,1.363,-0.055,-1.063,71.65,茶色瓶,一般酒
15.003,1.474,5.152,1.168,1.033,0.159,-1.001,73,緑色瓶,一般酒
14.307,4.673,4.536,0.829,0.855,-0.245,-1.007,71.06,茶色瓶,一般酒
15.031,1.442,4.715,1.592,1.608,-0.357,-0.993,72.31,茶色瓶,一般酒
16.288,4.789,4.471,1.244,0.966,-0.298,-1.063,68.58,紙パック,一般酒
15.347,2.977,4.039,1.02,1.279,0.009,-1.04,70.26,茶色瓶,一般酒
14.947,-3.194,4.207,1.65,1.201,0.117,-1.138,71.94,茶色瓶,一般酒
15.189,11.934,5.654,1.041,1.021,0.099,-1.134,71.27,茶色瓶,一般酒
14.86,5.079,5.429,1.301,1.2570000000000001,-0.071,-1.015,69.13,リターナブル瓶,一般酒
15.78,4.609,4.027,1.18,1.302,0.235,-0.981,64.95,茶色瓶,一般酒
14.306,5.206,4.729,0.923,1.585,0.047,-0.968,74.02,緑色瓶,一般酒
14.845,3.644,4.381,1.392,1.254,-0.316,-1.018,70.03,茶色瓶,一般酒
14.545,5.726,4.58,1.179,0.658,-0.199,-0.977,70.02,茶色瓶,一般酒
15.065,4.943,4.771,1.293,1.032,-0.156,-0.932,68.55,茶色瓶,一般酒
NA,6.78,4.806,1.145,1.176,0.032,-1.032,67.54,茶色瓶,一般酒
15.139,-0.79,4.522,1.062,1.327,0.017,-0.922,70.42,茶色瓶,一般酒
15.487,-2.111,4.3,1.206,1.092,-0.315,-1.151,71.58,緑色瓶,一般酒
15.199,7.043,4.27,1.165,0.701,-0.137,-0.879,66.34,茶色瓶,一般酒
15.224,3.811,4.517,1.359,0.76,0.237,-0.901,70.96,茶色瓶,一般酒
14.47,6.433,5.136,1.088,1.401,-0.082,-1.006,70.51,紙パック,一般酒
15.029,1.214,5.082,1.151,1.237,-0.37,-0.984,70.76,茶色瓶,NA
14.681000000000001,4.925,5.082,1.3860000000000001,1.642,0.191,-0.839,72.74,茶色瓶,一般酒
14.553,6.154,5.231,1.2730000000000001,0.978,0.217,-0.977,67.14,茶色瓶,一般酒
15.211,-4.205,4.439,1.421,1.005,-0.137,-0.961,72.09,茶色瓶,一般酒
15.482,9.755,4.654,1.001,1.601,0.042,-0.845,70.78,緑色瓶,一般酒
15.519,5.236,5.067,1.311,0.739,0.319,-0.884,67.45,茶色瓶,一般酒
15.292,10.267,5.354,1.164,1.374,-0.062,-1.068,68.73,その他,一般酒
15.031,3.148,4.482,1.513,1.24,-0.381,-1.1,69.25,茶色瓶,一般酒
15.558,2.18,4.862,1.172,1.67,-0.201,-0.83,71.35,茶色瓶,一般酒
16.803,1.197,4.13,1.2650000000000001,1.6640000000000001,-0.17,-0.988,66.08,紙パック,一般酒
15.703,2.308,5.594,1.003,1.513,-0.363,-0.851,69.4,茶色瓶,一般酒
15.371,3.512,4.954,1.195,1.944,0.14,-1.022,67.7,茶色瓶,一般酒
15.307,11.858,5.213,1.209,1.3559999999999999,-0.034,-1.064,71.22,茶色瓶,一般酒
15.659,5.767,4.055,1.258,1.197,-0.112,-1.133,63.97,緑色瓶,一般酒
15.357,-4.28,4.548,0.866,1.399,-0.126,-1.029,63.47,茶色瓶,一般酒
15.296,0.793,3.786,1.007,1.391,0.092,-0.803,71.64,緑色瓶,一般酒
15.414,-2.307,4.307,0.988,1.039,-0.032,-0.991,70.01,緑色瓶,一般酒
15.15,-0.894,4.1370000000000005,0.985,1.161,-0.345,-0.987,65.31,茶色瓶,一般酒
14.64,6.266,5.726,1.397,1.259,0.002,-1.187,68.43,茶色瓶,一般酒
15.002,2.094,4.658,1.193,1.392,-0.34,-0.997,71.75,茶色瓶,一般酒
16.095,2.297,4.139,1.135,1.496,-0.069,-0.764,71.73,茶色瓶,一般酒
15.245,0.502,3.529,1.332,1.19,-0.22,-1.012,68.24,茶色瓶,一般酒
15.63,5.17,3.654,1.191,1.283,0.065,-1.15,68.42,紙パック,一般酒
16.38,-0.54,3.814,1.027,1.433,-0.226,-1.049,67.49,緑色瓶,一般酒
15.013,7.688,5.35,1.2530000000000001,1.289,-0.064,-0.988,68.28,紙パック,一般酒
14.979,-0.608,5.4879999999999995,1.044,1.075,-0.054,-0.92,69.03,その他色瓶,一般酒
14.024,9.109,3.935,1.324,0.787,-0.048,-0.968,69.75,その他,一般酒
NA,3.576,4.973,1.263,0.675,0.004,-1.205,70.78,茶色瓶,一般酒
16.557,2.851,4.806,1.12,1.143,-0.211,-1.217,68.8,緑色瓶,一般酒
14.549,6.017,4.633,1.17,0.56,-0.292,-0.921,66.41,緑色瓶,一般酒
14.775,7.451,4.345,1.151,1.396,0.218,-0.931,75.5,青色瓶,一般酒
15.564,3.071,4.734,1.383,1.103,0.153,-0.883,68.63,茶色瓶,一般酒
14.674,-0.616,5.388,0.667,1.333,-0.076,-0.961,72.21,茶色瓶,一般酒
17.118,-1.04,4.892,1.012,0.552,0.079,-0.995,71.53,茶色瓶,一般酒
14.602,-0.021,4.5809999999999995,1.151,1.131,-0.091,-1.143,68.79,茶色瓶,一般酒
15.763,2.206,3.9379999999999997,1.169,1.346,0.024,-1.184,65.72,茶色瓶,一般酒
15.186,1.197,4.658,1.52,1.811,-0.044,-1.077,71.86,NA,一般酒
16.157,9.085,3.776,1.094,1.1280000000000001,0.17,-0.808,70.53,紙パック,一般酒
17.026,8.492,3.819,1.187,1.466,0.288,-0.851,69.78,緑色瓶,一般酒
15.667,4.628,5.473,1.127,0.813,-0.329,-0.896,69.76,茶色瓶,一般酒
16.834,5.955,4.37,0.809,1.6320000000000001,-0.314,-1.04,68.18,茶色瓶,一般酒
15.609,2.459,3.778,0.817,1.008,-0.086,-1.113,66.52,リターナブル瓶,一般酒
15.685,4.898,3.448,1.3559999999999999,0.62,0.116,-0.871,70.16,茶色瓶,一般酒
15.576,1.1219999999999999,4.695,0.844,1.316,-0.023,-0.917,70.99,茶色瓶,一般酒
15.95,5.799,4.257,1.016,1.237,-0.209,-1.228,70.42,茶色瓶,一般酒
15.261,2.682,3.926,0.797,1.193,-0.466,-1.012,69.99,茶色瓶,一般酒
15.029,3.132,3.3890000000000002,1.32,0.686,-0.247,-1.152,72.63,その他色瓶,一般酒
15.444,0.241,4.415,1.641,1.862,0.326,-1.019,67.33,茶色瓶,一般酒
15.528,3.42,NA,1.18,1.334,-0.089,-0.954,67.47,茶色瓶,一般酒
16.18,4.603,4.246,1.178,1.309,-0.143,-0.795,69.56,緑色瓶,一般酒
14.222,1.682,4.65,1.163,1.6909999999999998,-0.168,-0.978,65.88,茶色瓶,一般酒
14.763,1.154,4.709,1.251,1.188,-0.137,-0.906,71.58,茶色瓶,一般酒
16.852,7.016,4.309,0.836,1.6640000000000001,-0.299,-1.1320000000000001,68.19,茶色瓶,一般酒
16.45,3.863,4.346,1.175,1.308,0.002,-0.969,72.96,茶色瓶,一般酒
14.863,-0.023,4.438,1.107,1.661,-0.074,-1.055,70.86,紙パック,一般酒
15.461,-0.606,5.179,1.209,0.67,-0.14,-0.916,72.93,茶色瓶,一般酒
15.075,0.496,4.744,1.22,1.139,-0.069,-1.014,71.68,紙パック,一般酒
16.934,10.619,5.6899999999999995,1.081,1.113,-0.041,-0.936,69.54,紙パック,一般酒
15.605,4.241,4.72,0.929,1.21,-0.069,-0.923,68.65,茶色瓶,一般酒
15.643,4.3,4.686,1.653,1.365,0.111,-0.986,72.26,茶色瓶,一般酒
16.928,1.604,4.911,1.291,1.191,-0.303,-1.225,67.2,緑色瓶,一般酒
14.54,6.631,4.372,0.964,1.5470000000000002,-0.258,-0.924,68.94,茶色瓶,一般酒
15.648,-1.564,4.7379999999999995,0.954,1.772,-0.17,-0.876,66.51,茶色瓶,一般酒
15.941,2.6790000000000003,5.248,1.019,1.102,-0.189,-1.121,69.2,茶色瓶,一般酒
14.502,7.047,4.792,1.2610000000000001,1.329,-0.092,-0.943,70.53,その他色瓶,一般酒
16.405,0.681,4.961,0.969,1.5350000000000001,-0.06,-1.036,74.18,紙パック,一般酒
15.655,2.597,4.862,1.299,1.492,-0.277,-0.936,70.61,茶色瓶,一般酒
15.524000000000001,5.394,4.076,1.018,1.626,-0.06,-0.976,70.9,茶色瓶,一般酒
14.311,7.471,4.201,1.6840000000000002,0.705,-0.004,-1.022,71.53,茶色瓶,一般酒
NA,1.78,4.082,0.895,1.627,-0.138,NA,67.75,茶色瓶,一般酒
14.833,6.8,4.876,1.08,1.874,0.049,-0.915,68.89,茶色瓶,一般酒
15.285,9.731,3.846,0.949,1.451,-0.116,-0.984,67.72,茶色瓶,一般酒
14.697,1.229,4.6850000000000005,1.169,1.258,-0.124,-0.925,69.91,紙パック,一般酒
NA,-3.81,4.142,1.248,1.056,-0.373,-1.095,70.86,茶色瓶,一般酒
15.821,-0.601,3.902,0.985,0.893,-0.115,-0.928,67.7,茶色瓶,一般酒
15.917,NA,3.178,1.158,1.65,-0.137,-0.927,73.12,茶色瓶,一般酒
15.658,10.009,4.8309999999999995,1.294,1.336,-0.101,-0.912,74.84,茶色瓶,一般酒
15.806000000000001,9.995,6.074,1.34,0.96,0.049,-1.019,69.09,茶色瓶,一般酒
15.843,8.46,4.777,1.444,1.079,-0.289,-0.892,67.2,茶色瓶,一般酒
15.203,0.93,4.234,0.995,0.948,-0.106,-1.2530000000000001,68.31,茶色瓶,一般酒
16.793,5.9719999999999995,4.25,NA,1.102,-0.249,-0.97,72.32,茶色瓶,一般酒
15.591,0.154,4.212,1.496,1.704,-0.187,-1.119,73.27,茶色瓶,一般酒
17.109,1.744,3.032,1.197,1.096,0.077,-1.004,67,茶色瓶,一般酒
16.125,6.229,4.633,1.045,1.159,-0.02,-0.913,75.3,茶色瓶,一般酒
15.599,7.337,3.452,1.3439999999999999,1.208,-0.314,-1.004,69.24,茶色瓶,一般酒
15.737,1.94,4.586,1.326,0.626,-0.278,-0.975,71.49,茶色瓶,一般酒
14.738,-0.647,4.196,1.533,0.788,-0.214,-0.954,68.65,茶色瓶,一般酒
14.846,4.818,4.59,1.014,1.208,-0,-1.095,72.06,紙パック,一般酒
15.589,5.755,4.038,1.355,0.916,-0.303,-1.012,70.89,茶色瓶,一般酒
14.909,2.287,3.759,1.177,1.153,-0.116,-1.089,72.2,茶色瓶,一般酒
15.557,7.053,3.997,0.707,1.137,-0.113,-0.986,66.84,茶色瓶,一般酒
14.447,4.812,4.06,0.795,0.92,0.351,-1.184,73.97,茶色瓶,一般酒
14.523,4.513,3.517,1.282,1.294,-0.245,-0.964,68.69,茶色瓶,一般酒
14.798,6.016,3.273,1.4729999999999999,1.236,-0.031,-1.035,71.07,紙パック,一般酒
13.816,-3.212,4.5649999999999995,1.182,1.341,-0.079,-0.919,66.48,茶色瓶,一般酒
15.272,2.979,4.492,0.915,1.355,-0.05,-0.833,73.17,紙パック,NA
15.499,3.7439999999999998,3.535,1.124,1.457,-0.064,-0.952,70.99,茶色瓶,一般酒
14.032,1.689,6.352,0.857,1.427,0.024,-0.944,69.97,茶色瓶,一般酒
15.942,7.253,4.146,0.996,0.71,0.152,-0.962,66.84,茶色瓶,一般酒
14.841,-0.304,5.313,1.332,0.522,-0.228,-0.945,73.84,緑色瓶,一般酒
14.701,6.759,4.024,1.089,1.388,0.326,-1.038,69.3,茶色瓶,一般酒
13.244,8.463,4.499,0.86,1.298,0.042,-1.013,68.51,リターナブル瓶,一般酒
14.426,3.336,4.571,1.502,0.638,-0.11,-0.955,71.98,茶色瓶,一般酒
14.627,4.448,3.484,1.068,1.048,0.214,-1.061,68.81,茶色瓶,一般酒
14.171,4.965,4.134,0.989,1.152,-0.048,-0.881,73.33,茶色瓶,一般酒
15.661,2.9459999999999997,4.755,1.24,1.148,-0.097,-1.1219999999999999,71.82,茶色瓶,一般酒
15.131,0.04,4.243,1.369,1.413,-0,-1.17,NA,その他色瓶,一般酒
15.064,4.976,3.989,0.876,1.397,-0.213,-1.149,NA,紙パック,一般酒
15.425,-0.137,5.55,1.278,1.467,-0.083,-0.86,71.92,茶色瓶,一般酒
15.062,6.868,4.643,1.065,0.916,-0.089,-0.841,71.38,茶色瓶,一般酒
16.053,3.778,4.608,1.2690000000000001,0.758,0.093,-1.061,69.81,茶色瓶,一般酒
15.350999999999999,1.125,4.407,1.2650000000000001,0.899,0.106,-1.015,67.47,茶色瓶,一般酒
